Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 5 
block_start,block_end,average_distance
1,6,0.39119622646233976
2,7,0.4329669658954327
3,8,0.42974071013621795
4,9,0.21165818434495193
5,10,0.17133116110777244
6,11,0.11298761612329727
7,12,0.0691066644130609
8,13,0.07512449606870994
9,14,0.05768497173602764
10,15,0.05840927515274439
11,16,0.06650738838391426
12,17,0.07326937944461138
13,18,0.09015929393279247
14,19,0.0973051022260617
15,20,0.0907735580053085
16,21,0.08677379901592548
17,22,0.07671649639423077
18,23,0.07611709985977565
19,24,0.07240618192232572
20,25,0.07135645548502605
21,26,0.44631645007011217
Layer 9 to 14 is the best block to prune.
