Analysis of Layer Similarities for gemma_1b_reasonning 
Number of Layers to Skip : 11 
block_start,block_end,average_distance
1,12,0.4882351461909871
2,13,0.47057319608369097
3,14,0.44456959998658796
4,15,0.2058121185957618
5,16,0.143063786715397
6,17,0.11722155394983906
7,18,0.12035504124195279
8,19,0.11761919930257511
9,20,0.10905620263881438
10,21,0.10580352652226395
11,22,0.10271038006303648
12,23,0.10348890574704936
13,24,0.10598925152561696
14,25,0.1102276585132779
15,26,0.4856459981893777
Layer 11 to 22 is the best block to prune.
