Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 12 
block_start,block_end,average_distance
1,13,0.48310656425280446
2,14,0.4702304937900641
3,15,0.4157918294270833
4,16,0.19987800793770033
5,17,0.1598385541866987
6,18,0.1293810330904447
7,19,0.11299798427483974
8,20,0.10794693384415065
9,21,0.09465887607672276
10,22,0.09057108561197917
11,23,0.09008593436999199
12,24,0.0905607174604367
13,25,0.09079135992588142
14,26,0.48647836538461536
Layer 11 to 23 is the best block to prune.
