Analysis of Layer Similarities for gemma_1b_reasonning 
Number of Layers to Skip : 12 
block_start,block_end,average_distance
1,13,0.49112711239270385
2,14,0.47163253587714593
3,15,0.4446544729077253
4,16,0.21126651354613735
5,17,0.15354349684817598
6,18,0.13343228188707082
7,19,0.12824507946620173
8,20,0.11550811636601395
9,21,0.10890767502682404
10,22,0.10395308727870171
11,23,0.10454274451783799
12,24,0.10714682386668455
13,25,0.11122150994165772
14,26,0.4871779020252146
Layer 10 to 22 is the best block to prune.
